NAME,WEIGHT,CALORIES (kcal),CARBOHYDRATES,PROTEIN,FATS
Apple,100g ,67,15.8,0.7,0.1
Banana,100g ,126,29.6,1.4,0.2
Mango,100g ,80,18.9,0.7,0.2
Calmansi,100g ,44,8.3,0.4,1
Tomato,100g ,25,5.2,0.8,0.1
Pineapple,100g ,55,13,0.4,0.2
Lemon,100g ,42,6.3,0.5,1.6
Ampalaya,100g ,23,4.2,1,0.2
Carrot,100g ,42,8.6,1.1,0.3
Lettuce,100g ,22,3.4,1.3,0.4
Cucumber,100g ,16,3.2,0.5,1
Bell pepper,100g ,36,7.8,0.5,0.3
Eggplant,100g ,29,5.5,12.2,0.2
Pechay,100g ,22,2.6,2.1,0.4
Kiwi,100g ,22,2.6,2.1,0.4
Orange,100g ,22,2.6,2.1,0.4
